Age,Model,Trial,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
J,K,1,25,25.1984,239.29632,76.99616,199.97248,43.86816,129.74624,131.52224,139.9584,55.01216,131.20288,148.45952,150.13184,151.3792,146.95232,197.00544,156.5664
A,L,1,1,-353.28064,-226.93856,-316.03424,-294.93408,-310.80512,-289.78304,-315.68128,-350.06496,-375.04896,-390.32544,-378.2416,-371.23904,-396.31488,-431.57024,-421.84704,-423.3536
A,L,1,2,-17.84928,34.21824,-31.61056,6.83904,-7.92096,21.8448,4.78112,11.94752,20.08096,2.936,0.21024,23.40128,-1.79424,18.99712,34.48032,48.83552
A,L,1,3,303.41216,214.50208,176.29152,123.97536,118.09248,105.9424,85.15296,79.51424,69.472,48.44448,55.49344,49.17408,51.95104,16.77248,30.63104,7.07072
A,L,1,4,35.7936,156.51552,73.34144,127.58496,79.736,78.4128,70.30816,64.07456,58.82976,48.36992,33.2864,41.9632,31.16032,29.25184,34.62592,41.4448
A,L,1,5,208.10624,93.12352,147.96928,104.72512,120.29568,88.98272,117.3344,82.79936,82.80128,64.8816,50.62784,38.6896,40.93568,28.95232,45.28032,38.08544
A,L,1,6,-261.9424,-216.55872,-324.18944,-300.1584,-355.22816,-385.48256,-406.47872,-422.38816,-447.57824,-447.86176,-503.392,-520.41088,-544.98208,-634.17728,-629.89888,-621.57152
A,L,1,7,-24.87776,-92.09504,-71.792,-75.4288,-76.64992,-93.85184,-69.17984,-90.8608,-68.82912,-91.41664,-76.39488,-65.31104,-85.84992,-100.4992,-86.89792,-105.60928
A,L,1,8,247.92448,90.72224,159.40224,104.31232,134.24192,110.9184,106.08928,80.27232,80.66912,79.86816,64.12192,80.39584,64.26848,62.28384,64.89504,90.02784
A,L,1,9,146.36832,141.42752,134.42144,117.4128,123.70144,135.52736,118.96416,104.80704,104.12704,75.2416,74.99456,97.5344,67.88448,69.64384,81.19968,67.74656
A,L,1,10,108.49792,85.03808,111.8464,78.55264,97.09984,84.62592,79.04832,59.82016,74.10784,60.51072,58.42496,47.8816,54.09344,54.80736,88.98912,72.0208
A,L,1,11,-349.51296,-275.0544,-298.55712,-336.13504,-376.42496,-336.5248,-372.1184,-367.32,-435.38208,-429.06144,-487.25248,-489.4624,-521.69696,-581.92448,-581.59456,-569.08896
A,L,1,12,-82.9056,-79.32768,-53.05568,-37.5088,4.51296,-64.90528,-67.43456,-54.46816,-57.5568,-86.95232,-53.05056,-45.96192,-6.184,-50.3872,-22.62688,-4.5952
A,L,1,13,231.14816,156.39072,207.2,154.56512,164.4864,147.04256,160.71264,97.37216,120.74656,93.1008,102.84192,89.032,121.22944,113.38176,113.28864,120.12736
A,L,1,14,53.536,-5.93664,18.19712,6.92832,17.09728,-0.63424,-1.54432,-8.13344,24.5552,-14.6,-2.90528,2.264,1.34176,19.60864,19.56384,34.34112
A,L,1,15,-166.79584,-137.6,-178.3056,-192.0784,-222.936,-190.48512,-256.08096,-222.2096,-209.00384,-211.26848,-205.52672,-223.58112,-226.29248,-274.6304,-236.3056,-244.4384
A,L,1,16,-8.33248,10.72256,-0.8144,18.98144,6.22944,17.34976,8.19712,17.78592,24.80384,22.95744,22.08672,58.73856,29.39104,29.52512,28.14496,61.78624
A,L,1,17,32.77504,49.52608,53.11264,6.41408,7.46368,23.12768,14.40864,31.0208,36.27968,46.8096,28.20704,37.14784,32.2272,52.28384,43.58912,93.12352
A,L,1,18,128.52864,98.4384,106.19072,74.92352,120.67936,89.48192,93.95424,85.7808,70.25824,61.82496,47.90816,48.968,40.75456,43.55008,52.44928,55.33824
A,L,1,19,139.504,120.52672,101.44864,102.23552,93.75904,121.15552,108.56896,133.95424,102.78176,98.35296,101.09472,95.232,109.68064,90.45472,103.73696,100.93376
A,L,1,20,39.29088,107.752,56.85696,71.76608,51.45376,77.11136,29.97696,44.6432,54.57504,41.10848,53.25504,36.11296,46.37472,48.0064,47.85408,56.02144
A,L,1,21,53.11296,59.69024,43.7904,43.3184,53.50848,45.53632,35.6,44.3808,25,51.20288,24.35392,69.62048,41.77312,54.10272,38.60928,82.2416
A,L,1,22,-23.2496,-73.16256,-52.84576,-83.72128,-57.3408,-82.49056,-39.51648,-65.4576,-25.51168,-65.46112,-11.70112,-20.61408,-10.90624,-20.45344,-17.8608,3.86592
A,L,1,23,-58.4032,-85.2864,-64.04448,-55.55872,-64.72064,-71.76352,-30.72736,-94.17376,-69.24288,-76.58816,-84.81728,-85.59872,-37.22656,-85.55232,-63.05984,-56.2624
A,L,1,24,-277.11168,-378.83328,-367.52256,-420.00512,-477.48896,-491.82624,-530.59136,-548.49984,-585.70944,-647.91296,-654.47744,-713.00224,-739.36608,-800.1632,-795.54496,-813.28704
A,L,1,25,87.84608,20.50272,43.2752,-40.53152,1.22688,-29.64416,-20.8832,-26.93504,-5.672,-23.24384,-15.75616,-12.68288,6.76928,0.27776,-8.84032,7.26336
J,L,1,1,-83.93056,-353.45952,-200.35488,-228.10112,-231.2016,-261.16064,-208.96096,-275.1344,-308.45472,-355.30688,-251.81184,-305.11584,-358.8224,-330.0416,-213.01248,-274.66048
J,L,1,2,191.48864,0.4848,65.85408,45.28416,116.83328,58.91456,102.01856,72.6736,65.43968,86.36,102.35168,68.94592,108.79744,76.68992,116.28768,119.11904
J,L,1,3,378.95392,435.67648,293.97856,333.60992,238.928,220.6272,194.9728,154.98752,122.72544,131.51744,115.4016,101.03744,69.23136,92.90752,29.46272,60.93632
J,L,1,4,404.86272,66.20384,277.91168,135.5952,213.46272,136.024,122.62144,123.12992,85.35072,70.6592,92.94464,89.88416,70.97312,64.1072,67.12096,68.65184
J,L,1,5,188.44672,390.24064,173.11008,287.95968,190.11296,238.76512,179.13248,219.35712,158.35936,153.61952,124.63136,94.54592,66.52448,82.97024,74.23648,81.3568
J,L,1,6,-116.68832,-316.09312,-215.59776,-329.14688,-329.88576,-325.21952,-421.16832,-374.54304,-365.0816,-456.94848,-449.1776,-457.77888,-522.58784,-546.93792,-559.56512,-574.75456
J,L,1,7,-169.26112,-16.81408,-27.24736,7.39264,-39.19008,9.6656,-63.65056,1.00032,24.41376,8.92544,43.18528,-16.89248,-2.02336,-2.82848,5.92864,3.33312
J,L,1,8,84.56672,442.59488,198.05536,297.91008,231.33344,288.05504,189.05536,192.63776,168.89792,148.09376,166.00544,141.5408,165.27712,145.07968,160.488,103.2144
J,L,1,9,355.9008,279.60736,319.83456,286.1632,307.1712,257.16416,231.65024,248.95232,187.27232,228.64832,247.84384,156.27936,176.72992,170.48416,164.65504,156.64544
J,L,1,10,230.90528,276.66976,157.24608,248.29312,198.95008,219.54816,168.90944,196.05088,121.30208,149.79776,131.8496,127.88864,82.12896,142.43808,140.1744,176.73728
J,L,1,11,-161.84032,-271.21792,-265.53504,-269.53856,-239.99456,-288.31456,-291.01856,-302.70624,-242.184,-402.10944,-351.98944,-360.70944,-444.15936,-431,-421.93824,-490.9792
J,L,1,12,47.85312,72.79488,31.20832,86.26848,110.41824,153.80288,111.2416,117.01952,39.73216,133.98432,72.59392,223.22816,141.3392,228.75808,189.16544,223.1264
J,L,1,13,277.08128,458.51424,290.13888,391.90176,326.09632,331.86848,236.63296,306.08608,229.78912,239.27808,210.9712,270.01984,235.41376,217.82752,247.2448,264.216
J,L,1,14,-16.65024,159.29728,44.02016,132.61152,67.29632,109.95776,87.95968,95.32384,81.68416,105.65344,67.22464,139.58432,116.25792,120.09184,102.34304,133.35936
J,L,1,15,-40.84416,-95.8576,-91.48288,-95.27104,-113.60576,-117.40224,-97.29408,-141.94848,-186.4592,-85.12992,-129.8368,-22.50848,-104.58432,-77.71968,-140.34528,-29.27904
J,L,1,16,118.17792,30.70464,82.3232,58.62048,80.59936,89.88416,89.06208,56.6848,113.10016,97.09632,128.53664,126.25792,88.64,87.87616,172.06752,112.09056
J,L,1,17,119.12704,86.992,79.01984,117.11264,69.22752,85.65856,105.26112,121.32864,127.3904,100.44032,130.49056,124.46496,90.08896,126.11392,159.10944,137.50976
